,GOV18D,GOV18R,PRECID,NAME
2005,641,398,2147483647,El Paso 171
2006,180,237,2147483647,Morgan 008
2007,541,142,2145335337,Larimer 337
2008,732,109,1330816837,Denver 837
2009,480,400,2147483647,Arapahoe 257
2010,318,332,2147483647,Weld 234
2011,255,879,2147483647,Elbert 4
2012,631,540,2147483647,Jefferson 078
2013,435,322,2147483647,Adams 098
2014,361,454,2147483647,El Paso 413
2015,503,198,2147483647,Arapahoe 430
2016,416,513,2147483647,El Paso 602
2017,720,256,1310916908,Denver 908
2018,385,203,2147483647,Arapahoe 558
2019,230,660,2147483647,El Paso 448
2020,819,271,2147483647,Chaffee 008
2021,169,623,2147483647,Weld 320
2022,490,549,2147483647,Jefferson 082
2023,704,148,1340416403,Denver 403
2024,529,757,2147483647,Larimer 536
2025,494,544,2147483647,Douglas 212
2026,438,188,2147483647,Garfield 008
2027,722,546,2147483647,Jefferson 091
2028,424,594,2147483647,Douglas 352
2029,145,634,2147483647,Rio Blanco 003
2030,624,639,2147483647,Chaffee 005
2031,789,384,2145235217,Larimer 217
2032,516,501,1222230025,Jefferson 025
2033,223,52,2147483647,Pueblo 028
2034,418,735,2147483647,Weld 139
2035,320,679,2147483647,El Paso 304
2036,738,839,2147483647,Douglas 227
2037,209,652,2147483647,Delta 009
2038,719,376,2147483647,Routt 015
2039,479,357,2147483647,Arapahoe 339
2040,250,735,2147483647,Weld 118
2041,407,650,2147483647,Weld 212
2042,927,157,1340416412,Denver 412
2043,569,393,2147483647,Jefferson 134
2044,587,104,1340516505,Denver 505
2045,358,184,2147483647,Arapahoe 162
2046,490,290,2147483647,Adams 016
2047,446,459,1222230031,Jefferson 031
2048,903,222,2145235209,Larimer 209
2049,594,700,2147483647,Larimer 516
2050,1009,275,2147483647,Boulder 503
2051,563,410,2145235233,Larimer 233
2052,498,210,2147483647,Arapahoe 417
2053,349,861,2147483647,Fremont 011
2054,645,571,2147483647,Arapahoe 171
2055,285,321,2147483647,Pueblo 206
2056,657,311,2147483647,Jefferson 162
2057,364,114,2147483647,Arapahoe 507
2058,117,489,2147483647,Moffat 005
2059,710,274,2147483647,Arapahoe 423
2060,1084,255,1330716729,Denver 729
2061,717,365,2145235240,Larimer 240
2062,512,404,2147483647,Jefferson 234
2063,961,203,1340416408,Denver 408
2064,366,554,2147483647,Douglas 357
2065,497,851,2147483647,Arapahoe 204
2066,503,189,1310916936,Denver 936
2067,602,601,2147483647,Jefferson 081
2068,666,299,2147483647,El Paso 743
2069,488,690,2147483647,Mesa 035
2070,321,849,2147483647,El Paso 314
2071,494,462,2147483647,Arapahoe 321
2072,737,492,2145335328,Larimer 328
2073,438,787,2147483647,Douglas 342
2074,706,190,1330716733,Denver 733
2075,232,652,2147483647,El Paso 443
2076,1208,277,1320216233,Denver 233
2077,899,213,1340416422,Denver 422
2078,230,583,2147483647,Logan 007
2079,238,97,2147483647,Adams 255
2080,837,130,1340216202,Denver 202
2081,638,524,2147483647,Arapahoe 210
2082,671,502,2147483647,Arapahoe 252
2083,599,194,1310616650,Denver 650
2084,605,301,2147483647,Chaffee 009
2085,332,470,2147483647,Routt 005
2086,495,66,1330816803,Denver 803
2087,511,541,2147483647,Douglas 203
2088,489,423,2147483647,Jefferson 104
2089,400,501,2147483647,Adams 175
2090,452,672,2147483647,Weld 222
2091,299,298,2147483647,Douglas 356
2092,377,464,2147483647,Adams 190
2093,504,202,2147483647,Arapahoe 434
2094,778,305,2147483647,La Plata 008
2095,581,443,2147483647,Jefferson 243
2096,255,379,2147483647,El Paso 806
2097,462,120,1330716739,Denver 739
2098,351,629,2147483647,Weld 223
2099,690,121,2145335334,Larimer 334
2100,375,522,2147483647,Larimer 431
2101,450,888,2147483647,Arapahoe 325
2102,440,351,2147483647,Arapahoe 329
2103,309,648,2147483647,Montrose 023
2104,605,408,2147483647,Jefferson 132
2105,727,212,2147483647,Pitkin 009
2106,690,963,2147483647,Larimer 419
2107,335,487,2147483647,El Paso 136
2108,729,292,2145335313,Larimer 313
2109,527,796,2147483647,Mesa 042
2110,419,527,2147483647,Larimer 527
2111,662,579,2147483647,Weld 334
2112,378,593,2147483647,Douglas 318
2113,551,47,1330816801,Denver 801
2114,579,505,2147483647,Arapahoe 372
2115,253,676,2147483647,Mesa 014
2116,398,491,2147483647,Larimer 524
2117,561,496,2147483647,Jefferson 109
2118,208,584,2147483647,Weld 127
2119,760,345,2147483647,Boulder 100
2120,645,509,2147483647,Jefferson 223
2121,609,506,2147483647,Arapahoe 344
2122,235,392,2147483647,El Paso 804
2123,450,320,2147483647,Adams 102
2124,773,611,2145235235,Larimer 235
2125,189,471,2147483647,Logan 001
2126,483,483,1160116132,Denver 132
2127,502,278,2147483647,Arapahoe 461
2128,1049,179,2145235206,Larimer 206
2129,245,573,2147483647,Pueblo 203
2130,553,769,2147483647,Larimer 507
2131,391,863,2147483647,Weld 245
2132,1076,269,1320216234,Denver 234
2133,332,113,2147483647,Arapahoe 519
2134,529,360,2147483647,Jefferson 239
2135,661,342,2145335322,Larimer 322
2136,877,289,1340516523,Denver 523
2137,201,946,2147483647,El Paso 524
2138,541,600,2147483647,Larimer 526
2139,568,645,2147483647,Arapahoe 354
2140,490,747,2147483647,Larimer 418
2141,329,326,2147483647,Eagle 009
2142,760,167,1340416420,Denver 420
2143,663,643,1222230023,Jefferson 023
2144,635,361,2145335323,Larimer 323
2145,628,409,2147483647,La Plata 029
2146,551,753,1222230027,Jefferson 027
2147,996,189,1340416418,Denver 418
2148,685,614,2147483647,Jefferson 073
2149,542,587,2147483647,Pueblo 088
2150,683,179,1310903501,Arapahoe 501
2151,560,459,2145235228,Larimer 228
2152,646,488,2147483647,Jefferson 185
2153,630,294,2147483647,Boulder 637
2154,464,705,2147483647,Douglas 513
2155,820,418,2147483647,Garfield 004
2156,758,399,2147483647,El Paso 168
2157,321,212,2147483647,El Paso 199
2158,791,624,2147483647,Boulder 600
2159,507,443,2147483647,Arapahoe 212
2160,188,63,2147483647,Pueblo 022
2161,201,758,2147483647,Mesa 012
2162,538,359,2147483647,Boulder 632
2163,583,709,2147483647,Larimer 522
2164,563,378,2147483647,Jefferson 129
2165,499,489,1160116123,Denver 123
2166,395,759,2147483647,Douglas 340
2167,245,697,2147483647,Garfield 026
2168,820,322,2147483647,El Paso 172
2169,848,236,2147483647,La Plata 003
2170,477,621,2147483647,El Paso 132
2171,990,178,1340416421,Denver 421
2172,479,114,1330716737,Denver 737
2173,411,527,2147483647,Larimer 519
2174,287,817,2147483647,Weld 126
2175,1064,463,2147483647,Boulder 618
2176,438,591,2147483647,Larimer 539
2177,414,212,2147483647,Arapahoe 546
2178,537,160,2147483647,Boulder 102
2179,635,415,2145235223,Larimer 223
2180,347,743,2147483647,Mesa 041
2181,603,294,2147483647,Arapahoe 153
2182,296,88,2147483647,Arapahoe 514
2183,571,236,2147483647,Jefferson 220
2184,228,824,2147483647,Elbert 14
2185,70,70,2147483647,Adams 172
2186,290,342,2147483647,Weld 330
2187,559,419,2147483647,Jefferson 130
2188,553,614,2147483647,Jefferson 110
2189,324,634,2147483647,El Paso 162
2190,448,824,2147483647,El Paso 727
2191,471,300,1160116130,Denver 130
2192,466,271,2147483647,Adams 032
2193,434,369,2147483647,Adams 083
2194,539,286,1260303116,Arapahoe 116
2195,947,54,1330816807,Denver 807
2196,146,642,2147483647,El Paso 560
2197,203,808,2147483647,El Paso 453
2198,328,533,2147483647,El Paso 416
2199,344,612,2147483647,El Paso 401
2200,358,660,2147483647,Delta 015
2201,685,550,2147483647,Jefferson 236
2202,436,447,2147483647,Douglas 250
2203,849,303,1330716730,Denver 730
2204,294,459,2147483647,Weld 326
2205,552,305,1160116114,Denver 114
2206,528,491,2147483647,Larimer 530
2207,324,563,2147483647,Weld 238
2208,652,575,2147483647,El Paso 114
2209,167,368,2147483647,Logan 002
2210,614,632,2147483647,Jefferson 170
2211,174,513,2147483647,Montrose 013
2212,388,171,2147483647,Arapahoe 429
2213,455,435,1162230002,Jefferson 002
2214,279,197,2147483647,El Paso 619
2215,449,98,2147483647,Arapahoe 513
2216,445,285,1260303124,Arapahoe 124
2217,386,610,2147483647,Larimer 503
2218,790,250,1310616641,Denver 641
2219,298,378,2147483647,Douglas 264
2220,541,698,2147483647,Larimer 537
2221,864,265,2147483647,La Plata 005
2222,534,358,2147483647,La Plata 014
2223,634,469,2147483647,Jefferson 138
2224,522,746,2147483647,Jefferson 116
2225,190,809,2147483647,Rio Blanco 004
2226,363,753,2147483647,Teller 008
2227,149,729,2147483647,Delta 001
2228,405,970,2147483647,Douglas 263
2229,374,608,2147483647,Pueblo 107
2230,357,746,2147483647,Teller 001
2231,843,479,2147483647,Jefferson 254
2232,896,202,2145235208,Larimer 208
2233,512,326,2147483647,Jefferson 222
2234,401,1055,2147483647,El Paso 215
2235,131,624,2147483647,Delta 008
2236,722,473,2147483647,Jefferson 193
2237,490,753,2147483647,El Paso 205
2238,331,153,2147483647,Pueblo 013
2239,359,474,2147483647,Adams 215
2240,359,705,2147483647,El Paso 409
2241,195,709,2147483647,Arapahoe 364
2242,503,314,2147483647,Adams 034
2243,451,353,2147483647,Jefferson 253
2244,294,459,2147483647,El Paso 247
2245,406,645,2147483647,El Paso 140
2246,453,313,2147483647,El Paso 111
2247,541,130,2145335338,Larimer 338
2248,171,459,2147483647,Morgan 005
2249,329,387,2147483647,Pueblo 208
2250,415,770,2147483647,Teller 009
2251,418,872,2147483647,El Paso 202
2252,455,655,2147483647,Douglas 237
2253,522,321,2147483647,Pueblo 082
2254,363,572,2147483647,Douglas 502
2255,492,236,2147483647,Adams 014
2256,860,312,2147483647,Jefferson 196
2257,517,375,1160116122,Denver 122
2258,670,242,2145335318,Larimer 318
2259,712,237,1340516524,Denver 524
2260,492,389,2147483647,Adams 076
2261,443,219,2147483647,Adams 041
2262,704,288,1320116110,Denver 110
2263,398,286,2147483647,Adams 104
2264,180,260,2147483647,Morgan 007
2265,672,290,2147483647,Jefferson 089
2266,650,684,2147483647,El Paso 722
2267,504,288,2147483647,Gunnison 014
2268,555,497,2145335330,Larimer 330
2269,228,567,2147483647,Adams 246
2270,344,377,2147483647,El Paso 808
2271,629,682,2147483647,Jefferson 074
2272,297,400,2147483647,El Paso 642
2273,787,646,2147483647,Jefferson 126
2274,420,553,2147483647,Weld 218
2275,480,672,1162230005,Jefferson 005
2276,232,726,2147483647,Garfield 017
2277,355,738,2147483647,Mesa 005
2278,277,1147,2147483647,Mesa 029
2279,343,869,2147483647,El Paso 209
2280,689,347,2147483647,Arapahoe 416
2281,551,375,2147483647,Adams 068
2282,995,90,1310216204,Denver 204
2283,376,992,2147483647,Douglas 508
2284,551,264,2147483647,Boulder 611
2285,664,176,2147483647,Boulder 623
2286,370,767,2147483647,Weld 140
2287,287,1006,2147483647,El Paso 440
2288,606,316,2147483647,Eagle 029
2289,499,443,2147483647,Pueblo 003
2290,928,252,1310916910,Denver 910
2291,924,782,2147483647,Montezuma 011
2292,533,435,2147483647,Arapahoe 463
2293,501,340,2147483647,Adams 107
2294,548,719,2147483647,Douglas 261
2295,385,424,2147483647,Weld 337
2296,613,768,2147483647,Douglas 102
2297,842,514,2145335324,Larimer 324
2298,772,328,2145335315,Larimer 315
2299,730,685,2147483647,Chaffee 006
2300,533,355,1160116125,Denver 125
2301,539,759,2147483647,Douglas 202
2302,666,521,2147483647,Garfield 010
2303,634,575,2147483647,Broomfield 017
2304,322,485,2147483647,El Paso 155
2305,693,504,2147483647,Jefferson 235
2306,461,986,2147483647,El Paso 312
2307,322,773,2147483647,Teller 004
2308,609,241,2147483647,Routt 011
2309,1197,175,1320216221,Denver 221
2310,508,518,2147483647,Jefferson 150
2311,572,745,1162230006,Jefferson 006
2312,864,197,1310616628,Denver 628
2313,528,608,2147483647,Douglas 244
2314,716,107,1340516507,Denver 507
2315,548,285,2147483647,Arapahoe 523
2316,453,406,2147483647,Adams 094
2317,713,459,2147483647,Arapahoe 251
2318,507,243,2147483647,Adams 012
2319,451,825,2147483647,Douglas 259
2320,583,350,2147483647,Jefferson 131
2321,145,441,2147483647,Morgan 016
2322,835,441,2147483647,Jefferson 086
2323,693,528,2145235219,Larimer 219
2324,459,301,2147483647,Arapahoe 556
2325,637,274,2086159002,Summt 002
2326,792,345,2147483647,El Paso 179
2327,731,525,2147483647,Jefferson 152
2328,629,97,1330816838,Denver 838
2329,186,719,2147483647,El Paso 522
2330,669,353,2145235204,Larimer 204
2331,170,534,2147483647,El Paso 521
2332,552,436,2147483647,Larimer 415
2333,213,109,2147483647,Arapahoe 126
2334,281,493,2147483647,El Paso 237
2335,432,55,1340516502,Denver 502
2336,236,525,2147483647,La Plata 025
2337,434,402,2147483647,Douglas 207
2338,455,714,2147483647,Douglas 343
2339,541,68,1330716726,Denver 726
2340,412,702,2147483647,La Plata 011
2341,333,224,2147483647,Adams 192
2342,333,755,2147483647,El Paso 150
2343,573,397,2147483647,Jefferson 244
2344,845,396,2147483647,Boulder 409
2345,1030,124,1330816828,Denver 828
2346,564,366,1222230032,Jefferson 032
2347,576,117,2147483647,Boulder 813
2348,307,163,2147483647,Weld 110
2349,435,313,2147483647,El Paso 610
2350,746,620,2147483647,Douglas 211
2351,1077,311,2147483647,Gunnison 005
2352,465,851,2147483647,Weld 246
2353,1113,137,1310216206,Denver 206
2354,385,746,2147483647,Teller 003
2355,499,299,2147483647,Adams 109
2356,274,510,2147483647,Fremont 018
2357,937,258,2147483647,La Plata 004
2358,679,141,1340516501,Denver 501
2359,568,556,2147483647,El Paso 106
2360,256,343,2147483647,El Paso 421
2361,424,770,2147483647,Larimer 541
2362,734,268,2147483647,Eagle 007
2363,613,193,2145335321,Larimer 321
2364,287,261,2147483647,El Paso 183
2365,626,218,2145235210,Larimer 210
2366,559,482,2147483647,Arapahoe 261
2367,366,461,2147483647,El Paso 246
2368,285,903,2147483647,Elbert 6
2369,354,567,2147483647,Weld 136
2370,352,162,2147483647,Adams 004
2371,843,582,2147483647,Jefferson 164
2372,304,1007,2147483647,El Paso 214
2373,430,506,2147483647,Douglas 304
2374,487,915,2147483647,El Paso 726
2375,453,257,2147483647,Garfield 006
2376,573,413,2147483647,Arapahoe 370
2377,494,296,2145235226,Larimer 226
2378,296,1031,2147483647,El Paso 444
2379,394,99,2147483647,Arapahoe 405
2380,954,442,2147483647,Boulder 412
2381,650,248,2052619012,Eagle 012
2382,463,522,2147483647,Douglas 115
2383,350,561,2147483647,Douglas 505
2384,139,855,2147483647,Moffat 001
2385,351,313,2147483647,El Paso 627
2386,896,64,1330816808,Denver 808
2387,264,317,2147483647,El Paso 422
2388,357,400,2147483647,Larimer 505
2389,434,552,2147483647,Douglas 307
2390,435,503,2147483647,Weld 209
2391,776,647,2147483647,Jefferson 036
2392,254,573,2147483647,Fremont 020
2393,475,891,2147483647,El Paso 116
2394,450,383,2147483647,Adams 095
2395,530,1064,2147483647,El Paso 216
2396,316,755,2147483647,Weld 244
2397,436,284,2147483647,Adams 238
2398,268,78,2147483647,Adams 027
2399,393,757,2147483647,Douglas 507
2400,656,710,2147483647,Jefferson 058
2401,334,156,2147483647,Arapahoe 524
2402,736,455,2147483647,Jefferson 158
2403,629,633,2145235225,Larimer 225
2404,718,90,1330816806,Denver 806
2405,738,414,2147483647,Jefferson 085
2406,162,346,2147483647,Logan 004
2407,785,476,2147483647,Jefferson 192
2408,735,305,2147483647,Boulder 101
2409,694,308,2147483647,Eagle 025
2410,444,200,2147483647,Arapahoe 539
2411,415,257,2147483647,Adams 239
2412,663,808,2147483647,Jefferson 208
2413,764,342,2147483647,Boulder 620
2414,578,596,2147483647,La Plata 032
2415,411,263,1260303102,Arapahoe 102
2416,1196,173,2147483647,San Miguel 001
2417,390,199,2147483647,Adams 042
2418,579,911,2147483647,Mesa 033
2419,687,722,2147483647,Jefferson 040
2420,367,202,2147483647,Adams 118
2421,507,337,2147483647,Broomfield 019
2422,560,107,1340416425,Denver 425
2423,795,616,2147483647,Jefferson 118
2424,379,622,2147483647,El Paso 144
2425,691,336,2145235221,Larimer 221
2426,401,92,2147483647,Arapahoe 511
2427,471,338,2147483647,Arapahoe 309
2428,303,604,2147483647,La Plata 023
2429,505,69,1330716724,Denver 724
2430,459,708,2147483647,Weld 207
2431,570,412,2147483647,Adams 145
2432,532,245,2147483647,El Paso 189
2433,512,302,2147483647,Adams 007
2434,422,748,2147483647,El Paso 203
2435,431,500,2147483647,Larimer 504
2436,223,429,2147483647,Montrose 027
2437,630,216,1260303111,Arapahoe 111
2438,529,678,2147483647,El Paso 208
2439,627,484,2147483647,Arapahoe 232
2440,539,122,1330716727,Denver 727
2441,781,270,2145335305,Larimer 305
2442,503,552,2147483647,Larimer 512
2443,294,988,2147483647,El Paso 442
2444,541,604,2147483647,Archuleta 007
2445,483,121,1320516539,Denver 539
2446,486,482,2147483647,Larimer 514
2447,403,178,2147483647,Adams 114
2448,537,721,2147483647,El Paso 721
2449,567,352,2147483647,Jefferson 145
2450,290,285,2147483647,El Paso 807
2451,399,205,2147483647,Arapahoe 433
2452,813,226,2145335312,Larimer 312
2453,475,493,2147483647,Douglas 241
2454,569,717,2147483647,Jefferson 209
2455,736,686,2147483647,El Paso 102
2456,376,145,2147483647,Boulder 644
2457,389,337,2147483647,Douglas 204
2458,1229,160,2145335302,Larimer 302
2459,457,200,2086159020,Summt 020
2460,479,788,2147483647,El Paso 204
2461,458,946,2147483647,Custer 001
2462,745,183,2147483647,Jefferson 230
2463,597,289,2147483647,Arapahoe 437
2464,676,300,2145235202,Larimer 202
2465,337,348,2147483647,Adams 187
2466,793,669,2147483647,Jefferson 103
2467,601,314,2147483647,Jefferson 237
2468,642,600,2147483647,Arapahoe 253
2469,530,566,2147483647,Park 001
2470,227,188,2147483647,El Paso 137
2471,189,390,2147483647,Garfield 027
2472,802,513,2147483647,Jefferson 201
2473,585,539,1222230029,Jefferson 029
2474,844,578,2147483647,Jefferson 165
2475,363,674,2147483647,Weld 331
2476,412,605,2147483647,Douglas 503
2477,301,560,2147483647,El Paso 238
2478,641,373,2147483647,El Paso 113
2479,677,523,2147483647,Jefferson 181
2480,457,869,2147483647,El Paso 728
2481,641,453,2147483647,Jefferson 140
2482,617,81,1340416430,Denver 430
2483,499,95,1330716741,Denver 741
2484,736,561,2147483647,Jefferson 117
2485,241,417,2147483647,Delta 004
2486,230,133,2147483647,Adams 131
2487,487,963,2147483647,El Paso 201
2488,338,559,2147483647,Douglas 514
2489,439,423,2147483647,Adams 206
2490,437,395,2147483647,Douglas 240
2491,498,666,2147483647,Douglas 324
2492,709,321,2147483647,El Paso 119
2493,188,401,2147483647,Garfield 023
2494,431,821,2147483647,El Paso 161
2495,640,348,2147483647,El Paso 110
2496,659,716,2147483647,Douglas 105
2497,464,680,2147483647,Douglas 109
2498,690,342,2147483647,El Paso 178
2499,551,592,1162230008,Jefferson 008
2500,804,627,2147483647,Jefferson 221
2501,664,592,2147483647,Douglas 210
2502,497,234,2147483647,Arapahoe 450
2503,371,179,2147483647,Alamosa 006
2504,1371,345,1320216219,Denver 219
2505,421,175,2147483647,Adams 023
2506,535,644,2147483647,Douglas 209
2507,409,324,2147483647,El Paso 603
2508,972,373,2147483647,Jefferson 093
2509,540,764,2147483647,Chaffee 002
2510,620,753,1162230012,Jefferson 012
2511,446,1066,2147483647,El Paso 317
2512,134,679,2147483647,Montrose 028
2513,504,826,2147483647,Douglas 266
2514,262,106,2147483647,Arapahoe 551
2515,467,592,2081325003,Grand 003
2516,559,125,2145335309,Larimer 309
2517,516,652,2147483647,Douglas 262
2518,412,230,2147483647,Pueblo 010
2519,407,480,2147483647,Weld 314
2520,705,760,2147483647,Jefferson 115
2521,342,858,2147483647,Elbert 2
2522,180,594,2147483647,Montrose 012
2523,407,844,2147483647,El Paso 245
2524,668,682,1222230024,Jefferson 024
2525,374,940,2147483647,Montezuma 003
2526,469,66,1330716723,Denver 723
2527,541,589,2147483647,Douglas 308
2528,954,220,1310616631,Denver 631
2529,497,398,2147483647,Arapahoe 337
2530,504,419,2147483647,Adams 092
2531,267,603,2147483647,Garfield 020
2532,599,641,2147483647,Jefferson 071
2533,566,485,2147483647,Jefferson 105
2534,401,226,2147483647,Adams 018
2535,433,1022,2147483647,El Paso 311
2536,816,472,2147483647,Broomfield 033
2537,573,385,2147483647,Adams 061
2538,803,578,2147483647,Jefferson 184
2539,589,548,2147483647,Douglas 231
2540,478,421,2147483647,Adams 205
